#Timestamp	Benchmark	CPU(4) Frequency(MHz)	CPU(4) Temperature(C)	A15 Voltage(V)	A15 Current(A)	A15 Power(W)	CPU_CYCLES	EXCEPTION_RETURN	BRANCH_MISPRED	BRANCH_PRED	DATA_MEM_ACCESS	L1I_CACHE_ACCESS	L2D_CACHE_ACCESS
1495862652961673475	parsec.dedup	1800	38	1.100000	0.544000	0.650000	580757241	51938	3413116	52764152	131367395	152123816	9753006
1495862653471818234	parsec.dedup	1800	38	1.200000	1.154000	1.384000	901662763	83519	5349115	79030778	199098551	235959478	15320890
1495862653981665576	parsec.dedup	1800	38	1.100000	1.161000	1.390000	901116966	82350	5295664	83272488	204799772	238518315	15081621
1495862654491694752	parsec.dedup	1800	39	1.200000	1.161000	1.393000	901137061	63538	2110646	57847972	215116622	179266717	17355302
1495862655001029304	parsec.dedup	1800	39	1.200000	1.160000	1.392000	901178925	64008	2309215	58528596	233322465	196949003	17293978
1495862655510911938	parsec.dedup	1800	39	1.200000	1.135000	1.362000	901302725	32703	3031284	76398508	404102257	275820783	12131833
1495862656020537114	parsec.dedup	1800	40	1.200000	1.383000	1.660000	901126455	18550	3018937	84237935	446870039	292856117	9518485
1495862656529719249	parsec.dedup	1800	40	1.200000	1.393000	1.671000	901093079	15877	3707484	96082272	417321060	286374850	8077091
1495862657038834467	parsec.dedup	1800	40	1.200000	1.380000	1.656000	901098456	16276	3927313	89763569	434032906	300689862	8769439
1495862657548396727	parsec.dedup	1800	41	1.200000	1.416000	1.699000	901297115	19628	2688103	84061631	437065427	290412610	9589002
1495862658057743070	parsec.dedup	1800	41	1.200000	1.395000	1.674000	901214185	19046	2529517	85166517	437603770	289621783	9152289
1495862658567083039	parsec.dedup	1800	41	1.200000	1.397000	1.676000	901215530	18081	2446759	85336651	443242004	290411017	9237495
1495862659076336424	parsec.dedup	1800	41	1.200000	1.406000	1.687000	901239715	22344	2952204	70883555	468187205	303380457	10457393
1495862659585818808	parsec.dedup	1800	41	1.200000	1.441000	1.729000	901248375	37226	4642209	83233951	391503377	289499405	14641757
1495862660095356776	parsec.dedup	1800	41	1.200000	1.383000	1.659000	901240830	43600	5252465	92825818	347346758	279065540	16010475
1495862660604831411	parsec.dedup	1800	41	1.200000	1.286000	1.543000	901341754	43492	5329020	93096535	346747513	280180954	15976882
1495862661114276754	parsec.dedup	1800	41	1.200000	1.286000	1.543000	901233011	42125	5322773	93524265	352637759	281469523	16221766
1495862661623538431	parsec.dedup	1800	41	1.200000	1.300000	1.560000	901247955	44613	5350268	92365703	338819181	278013188	15735521
1495862662132994815	parsec.dedup	1800	41	1.200000	1.283000	1.539000	901219130	43556	5213787	91241958	342569709	276675895	16234648
1495862662642487033	parsec.dedup	1800	41	1.200000	1.286000	1.543000	901135235	45034	5097631	89592649	334280884	272506355	16170012
1495862663151887335	parsec.dedup	1800	41	1.200000	1.282000	1.538000	901127180	45164	5115920	89482521	332931850	272481563	16114372
1495862663661394261	parsec.dedup	1800	41	1.200000	1.277000	1.532000	901126540	43106	5213885	90538376	344436916	276633612	16481745
1495862664170807021	parsec.dedup	1800	41	1.200000	1.285000	1.542000	901114445	43739	5490903	92510282	340122324	279189792	15683748
1495862664680359572	parsec.dedup	1800	41	1.200000	1.285000	1.542000	901136600	43419	5336860	91232794	341906534	277723324	16201897
1495862665189989832	parsec.dedup	1800	41	1.200000	1.297000	1.556000	901098590	38316	6810614	114032597	333259782	292844241	14006880
1495862665699371050	parsec.dedup	1800	41	1.200000	1.276000	1.531000	901118665	41746	6135248	101752883	340470878	287614663	14780590
1495862666208835310	parsec.dedup	1800	41	1.200000	1.280000	1.536000	901114899	38398	7152659	123107029	303990523	286466674	12127403
1495862666718125820	parsec.dedup	1800	41	1.200000	1.293000	1.551000	901091186	40776	6845292	128144056	291197693	278776889	10813627
1495862667227387621	parsec.dedup	1800	41	1.200000	1.261000	1.513000	901156395	38116	7616969	118061692	282778860	283651749	12418796
1495862667736799715	parsec.dedup	1800	41	1.200000	1.253000	1.503000	901110269	41541	7052607	122360706	289548637	278353270	10826811
1495862668246100016	parsec.dedup	1800	41	1.200000	1.252000	1.502000	901116110	38732	7050955	122084834	282856531	275521768	11510740
1495862668755515401	parsec.dedup	1800	41	1.200000	1.262000	1.514000	901072310	40412	7066853	130865462	292789938	283516032	10476860
1495862669264893327	parsec.dedup	1800	41	1.200000	1.252000	1.502000	901117040	39426	7233066	127265700	288799024	282370141	11162342
1495862669774256587	parsec.dedup	1800	41	1.200000	1.252000	1.502000	901096976	39307	7182944	129680723	291273386	280844166	10740447
1495862670283590681	parsec.dedup	1800	41	1.200000	1.262000	1.514000	901123895	39944	7246032	126839108	289426157	283504683	10775922
1495862670792977982	parsec.dedup	1800	41	1.200000	1.261000	1.513000	901237960	39376	7245454	131794400	293776206	285739013	10732370
1495862671302318242	parsec.dedup	1800	41	1.200000	1.257000	1.508000	901194300	38932	7235929	128963729	294127415	282545890	11559088
1495862671811758793	parsec.dedup	1800	41	1.200000	1.248000	1.497000	901112914	38824	7054483	124339737	284572598	277124277	11427659
1495862672323141592	parsec.dedup	1800	41	1.200000	1.255000	1.506000	901239271	37848	6983019	127971589	288796059	279375402	10951561
1495862672833367976	parsec.dedup	1800	41	1.200000	1.256000	1.507000	901333470	40703	6813704	124986935	283235965	274629729	10885615
1495862673343143693	parsec.dedup	1800	41	1.200000	1.249000	1.498000	901233830	40045	7044257	126935948	292368990	282590126	10929563
1495862673852838995	parsec.dedup	1800	41	1.200000	1.273000	1.527000	901155254	39627	7079508	123276468	282286125	278983505	11281975
1495862674362230379	parsec.dedup	1800	41	1.200000	1.258000	1.509000	901162981	37946	7560858	124007816	288365206	283133215	11756039
1495862674871678889	parsec.dedup	1800	41	1.200000	1.266000	1.519000	901164765	38580	7363454	123319517	288254240	282822810	11719184
1495862675381137941	parsec.dedup	1800	41	1.200000	1.250000	1.500000	901153471	40043	7112334	125290567	291201695	279081691	10942512
1495862675890642075	parsec.dedup	1800	41	1.200000	1.254000	1.504000	901189964	40983	7063794	122428811	287439386	276705383	11118831
1495862676400079918	parsec.dedup	1800	41	1.200000	1.245000	1.494000	901295359	40750	7095708	127818074	289843816	281518475	10844058
